food,text
cream cheese,"Cream cheese provides 51 kcal per 100 grams. It contains 5.0 g of total fat (2.9 g saturated, 1.3 g monounsaturated, and 0.2 g polyunsaturated), 0.8 g of carbohydrates with 0.5 g of sugars, 0.9 g of protein, and 0.0 g of dietary fiber. It has 14.6 mg of cholesterol, 0.016 g of sodium, and 7.6 g of water. Vitamin content per 100g: A = 0.2 mg, B1 (Thiamine) = 0.033 mg, B2 (Riboflavin) = 0.097 mg, B3 (Niacin) = 0.084 mg, B5 (Pantothenic Acid) = 0.052 mg, B6 = 0.096 mg, B11 (Folic Acid) = 0.064 mg, B12 = 0.092 mg, Vitamin C = 0.004 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.1 mg. Mineral content per 100g: Calcium = 0.008 mg, Copper = 14.1 mg, Iron = 0.082 mg, Magnesium = 0.027 mg, Manganese = 1.3 mg, Phosphorus = 0.091 mg, Potassium = 15.5 mg, Selenium = 19.1 mg, and Zinc = 0.039 mg. The overall nutrition density score is 7.07. "
neufchatel cheese,"Neufchatel cheese provides 215 kcal per 100 grams. It contains 19.4 g of total fat (10.9 g saturated, 4.9 g monounsaturated, and 0.8 g polyunsaturated), 3.1 g of carbohydrates with 2.7 g of sugars, 7.8 g of protein, and 0.0 g of dietary fiber. It has 62.9 mg of cholesterol, 0.3 g of sodium, and 53.6 g of water. Vitamin content per 100g: A = 0.2 mg, B1 (Thiamine) = 0.099 mg, B2 (Riboflavin) = 0.1 mg, B3 (Niacin) = 0.2 mg, B5 (Pantothenic Acid) = 0.5 mg, B6 = 0.078 mg, B11 (Folic Acid) = 0.079 mg, B12 = 0.09 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.3 mg, Vitamin K = 0.045 mg. Mineral content per 100g: Calcium = 99.5 mg, Copper = 0.034 mg, Iron = 0.1 mg, Magnesium = 8.5 mg, Manganese = 0.088 mg, Phosphorus = 117.3 mg, Potassium = 129.2 mg, Selenium = 0.054 mg, and Zinc = 0.7 mg. The overall nutrition density score is 130.1. "
requeijao cremoso light catupiry,"Requeijao cremoso light catupiry provides 49 kcal per 100 grams. It contains 3.6 g of total fat (2.3 g saturated, 0.9 g monounsaturated, and 0.0 g polyunsaturated), 0.9 g of carbohydrates with 3.4 g of sugars, 0.8 g of protein, and 0.1 g of dietary fiber. It has 0.0 mg of cholesterol, 0.0 g of sodium, and 0.0 g of water. Vitamin content per 100g: A = 0.0 mg, B1 (Thiamine) = 0.0 mg, B2 (Riboflavin) = 0.0 mg, B3 (Niacin) = 0.0 mg, B5 (Pantothenic Acid) = 0.0 mg, B6 = 0.0 mg, B11 (Folic Acid) = 0.0 mg, B12 = 0.0 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.0 mg, Vitamin K = 0.0 mg. Mineral content per 100g: Calcium = 0.0 mg, Copper = 0.0 mg, Iron = 0.0 mg, Magnesium = 0.0 mg, Manganese = 0.0 mg, Phosphorus = 0.0 mg, Potassium = 0.0 mg, Selenium = 0.0 mg, and Zinc = 0.0 mg. The overall nutrition density score is 5.4. "
ricotta cheese,"Ricotta cheese provides 30 kcal per 100 grams. It contains 2.0 g of total fat (1.3 g saturated, 0.5 g monounsaturated, and 0.002 g polyunsaturated), 1.5 g of carbohydrates with 0.091 g of sugars, 1.5 g of protein, and 0.0 g of dietary fiber. It has 9.8 mg of cholesterol, 0.017 g of sodium, and 14.7 g of water. Vitamin content per 100g: A = 0.075 mg, B1 (Thiamine) = 0.019 mg, B2 (Riboflavin) = 0.027 mg, B3 (Niacin) = 0.041 mg, B5 (Pantothenic Acid) = 0.016 mg, B6 = 0.007 mg, B11 (Folic Acid) = 0.079 mg, B12 = 0.091 mg, Vitamin C = 0.006 mg, Vitamin D = 0.0 mg, Vitamin E = 0.001 mg, Vitamin K = 0.011 mg. Mineral content per 100g: Calcium = 0.097 mg, Copper = 41.2 mg, Iron = 0.097 mg, Magnesium = 0.096 mg, Manganese = 4.0 mg, Phosphorus = 0.024 mg, Potassium = 30.8 mg, Selenium = 43.8 mg, and Zinc = 0.035 mg. The overall nutrition density score is 5.196. "
cream cheese low fat,"Cream cheese low fat provides 30 kcal per 100 grams. It contains 2.3 g of total fat (1.4 g saturated, 0.6 g monounsaturated, and 0.042 g polyunsaturated), 1.2 g of carbohydrates with 0.9 g of sugars, 1.2 g of protein, and 0.0 g of dietary fiber. It has 8.1 mg of cholesterol, 0.046 g of sodium, and 10.0 g of water. Vitamin content per 100g: A = 0.016 mg, B1 (Thiamine) = 0.08 mg, B2 (Riboflavin) = 0.026 mg, B3 (Niacin) = 0.08 mg, B5 (Pantothenic Acid) = 0.1 mg, B6 = 0.003 mg, B11 (Folic Acid) = 0.062 mg, B12 = 0.049 mg, Vitamin C = 0.0 mg, Vitamin D = 0.036 mg, Vitamin E = 0.009 mg, Vitamin K = 0.019 mg. Mineral content per 100g: Calcium = 22.2 mg, Copper = 0.072 mg, Iron = 0.008 mg, Magnesium = 1.2 mg, Manganese = 0.098 mg, Phosphorus = 22.8 mg, Potassium = 37.1 mg, Selenium = 0.034 mg, and Zinc = 0.053 mg. The overall nutrition density score is 27.007. "
cream cheese fat free,"Cream cheese fat free provides 19 kcal per 100 grams. It contains 0.2 g of total fat (0.1 g saturated, 0.091 g monounsaturated, and 0.075 g polyunsaturated), 1.4 g of carbohydrates with 1.0 g of sugars, 2.8 g of protein, and 0.0 g of dietary fiber. It has 2.2 mg of cholesterol, 0.1 g of sodium, and 12.9 g of water. Vitamin content per 100g: A = 0.063 mg, B1 (Thiamine) = 0.02 mg, B2 (Riboflavin) = 0.021 mg, B3 (Niacin) = 0.025 mg, B5 (Pantothenic Acid) = 0.2 mg, B6 = 0.038 mg, B11 (Folic Acid) = 0.089 mg, B12 = 0.092 mg, Vitamin C = 0.0 mg, Vitamin D = 0.0 mg, Vitamin E = 0.049 mg, Vitamin K = 0.059 mg. Mineral content per 100g: Calcium = 63.2 mg, Copper = 0.039 mg, Iron = 0.053 mg, Magnesium = 4.0 mg, Manganese = 0.028 mg, Phosphorus = 94.1 mg, Potassium = 50.0 mg, Selenium = 0.013 mg, and Zinc = 0.3 mg. The overall nutrition density score is 67.679. "
gruyere cheese,"Gruyere cheese provides 116 kcal per 100 grams. It contains 9.1 g of total fat (5.3 g saturated, 2.8 g monounsaturated, and 0.5 g polyunsaturated), 0.1 g of carbohydrates with 0.1 g of sugars, 8.3 g of protein, and 0.0 g of dietary fiber. It has 30.8 mg of cholesterol, 0.2 g of sodium, and 9.3 g of water. Vitamin content per 100g: A = 0.061 mg, B1 (Thiamine) = 0.021 mg, B2 (Riboflavin) = 0.004 mg, B3 (Niacin) = 0.043 mg, B5 (Pantothenic Acid) = 0.2 mg, B6 = 0.051 mg, B11 (Folic Acid) = 0.072 mg, B12 = 0.078 mg, Vitamin C = 0.0 mg, Vitamin D = 0.034 mg, Vitamin E = 0.035 mg, Vitamin K = 0.048 mg. Mineral content per 100g: Calcium = 283.1 mg, Copper = 0.033 mg, Iron = 0.094 mg, Magnesium = 10.1 mg, Manganese = 0.002 mg, Phosphorus = 169.4 mg, Potassium = 22.7 mg, Selenium = 0.079 mg, and Zinc = 1.1 mg. The overall nutrition density score is 300.694. "
cheddar cheese,"Cheddar cheese provides 113 kcal per 100 grams. It contains 9.3 g of total fat (5.3 g saturated, 2.6 g monounsaturated, and 0.3 g polyunsaturated), 0.9 g of carbohydrates with 0.1 g of sugars, 6.4 g of protein, and 0.0 g of dietary fiber. It has 27.7 mg of cholesterol, 0.2 g of sodium, and 10.3 g of water. Vitamin content per 100g: A = 0.054 mg, B1 (Thiamine) = 0.031 mg, B2 (Riboflavin) = 0.1 mg, B3 (Niacin) = 0.01 mg, B5 (Pantothenic Acid) = 0.1 mg, B6 = 0.005 mg, B11 (Folic Acid) = 0.005 mg, B12 = 0.073 mg, Vitamin C = 0.0 mg, Vitamin D = 0.06 mg, Vitamin E = 0.2 mg, Vitamin K = 0.035 mg. Mineral content per 100g: Calcium = 198.8 mg, Copper = 0.099 mg, Iron = 0.077 mg, Magnesium = 7.6 mg, Manganese = 0.063 mg, Phosphorus = 127.4 mg, Potassium = 21.3 mg, Selenium = 0.009 mg, and Zinc = 1.0 mg. The overall nutrition density score is 215.53. "
parmesan cheese,"Parmesan cheese provides 71 kcal per 100 grams. It contains 4.5 g of total fat (2.7 g saturated, 1.4 g monounsaturated, and 0.1 g polyunsaturated), 0.6 g of carbohydrates with 0.046 g of sugars, 6.4 g of protein, and 0.0 g of dietary fiber. It has 12.2 mg of cholesterol, 0.2 g of sodium, and 5.4 g of water. Vitamin content per 100g: A = 0.067 mg, B1 (Thiamine) = 0.062 mg, B2 (Riboflavin) = 0.057 mg, B3 (Niacin) = 0.039 mg, B5 (Pantothenic Acid) = 0.06 mg, B6 = 0.066 mg, B11 (Folic Acid) = 0.099 mg, B12 = 0.059 mg, Vitamin C = 0.0 mg, Vitamin D = 0.095 mg, Vitamin E = 0.018 mg, Vitamin K = 0.021 mg. Mineral content per 100g: Calcium = 213.1 mg, Copper = 0.051 mg, Iron = 0.1 mg, Magnesium = 7.9 mg, Manganese = 0.073 mg, Phosphorus = 124.9 mg, Potassium = 16.6 mg, Selenium = 0.045 mg, and Zinc = 0.5 mg. The overall nutrition density score is 224.777. "
romano cheese,"Romano cheese provides 19 kcal per 100 grams. It contains 1.3 g of total fat (0.9 g saturated, 0.4 g monounsaturated, and 0.035 g polyunsaturated), 0.2 g of carbohydrates with 0.088 g of sugars, 1.6 g of protein, and 0.0 g of dietary fiber. It has 5.2 mg of cholesterol, 0.008 g of sodium, and 1.5 g of water. Vitamin content per 100g: A = 0.064 mg, B1 (Thiamine) = 0.058 mg, B2 (Riboflavin) = 0.059 mg, B3 (Niacin) = 0.055 mg, B5 (Pantothenic Acid) = 0.025 mg, B6 = 0.029 mg, B11 (Folic Acid) = 0.026 mg, B12 = 0.045 mg, Vitamin C = 0.0 mg, Vitamin D = 0.073 mg, Vitamin E = 0.078 mg, Vitamin K = 0.004 mg. Mineral content per 100g: Calcium = 53.2 mg, Copper = 0.046 mg, Iron = 0.03 mg, Magnesium = 2.1 mg, Manganese = 0.002 mg, Phosphorus = 38.0 mg, Potassium = 4.3 mg, Selenium = 0.087 mg, and Zinc = 0.1 mg. The overall nutrition density score is 56.38. "
